5.1. Seberapa puas Anda terhadap Anda menilai kemampuan mentor dalam menjelaskan materi?,"5.2. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.3. Metode pembelajaran apa yang digunakan oleh mentor?,5.4. Seberapa puas Anda terhadap metode pembelajaran yang digunakan oleh mentor?,5.5. Seberapa puas Anda terhadap materi kelas Program GIKnowledge Building 2025?,"5.6. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.7. Apakah materi dan kegiatan yang diberikan sesuai dengan kebutuhan pengembangan Anda?,5.8. Apakah Program GIKnowledge Building membantu Anda memahami hal-hal baru yang relevan dengan rencana pekerjaan atau karier Anda?,5.9. Apakah Anda merasa lebih percaya diri setelah mengikuti program ini?,"5.10. Sejauh mana program ini memberi dampak positif bagi cara Anda bekerja, berpikir, atau berkolaborasi?",5.11. Bagaimana pendapat Anda tentang jadwal dan durasi setiap sesi?,5.12. Seberapa puas Anda terhadap fasilitas kelas GIKnowledge Building 2025?,"5.13. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.14. Seberapa puas Anda terhadap Tim GIK dalam memberikan bimbingan dan dukungan yang cukup selama  penyelenggaraan Program GIKnowledge Building 2025?,"5.15. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.16. Apa manfaat utama yang Anda rasakan setelah mengikuti program ini?,5.17. Apa hal terbaik dari Program GIKnowledge Building 2025 yang sebaiknya dipertahankan?,"5.18. Apakah ada topik, metode, atau aktivitas baru yang ingin Anda tambahkan pada pelaksanaan selanjutnya?","5.19. Berdasarkan level kepuasanmu terhadap keseluruhan pelaksanaan program sejauh ini, seberapa mungkin Anda memberi rekomendasi ke teman atau mahasiswa lain untuk mengikuti Program GIKnowledge Building?","5.20. Jika Anda menjawab ""Sangat direkomendasikan"", atau ""Direkomendasikan"" pada pertanyaan sebelumnya, Berikan alasan mengapa Anda bersedia merekomendasikan program GIKnowledge Building ini kepada teman atau mahasiswa lain?",5.21. Ceritakan pengalaman berkesan selama Anda mengikuti Program GIKnowledge Building!,5.22. Berikan saran perbaikan untuk pengembangan dan keberlanjutan Program GIKnowledge Building!
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mendapatkan pengetahuan langsung yang mendalam dari para praktisi di perusahaan tentang upstream-downstream kelapa sawit,Sistem kelasnya,"Durasinya lebih dari 8 pertemuan, karena tiap pertemuan sangat menarik",Sangat direkomendasikan,"Karena program GIKnowledge Building dirancang dengan kerjasama yang sangat baik, mulai dari panitia hingga pihak perusahaan. Hal tersebut bisa terlihat dari cara panitia memperlakukan peserta dengan ramah dan mentor-mentor yang sangat semangat dalam menyampaikan materi. Fasilitas air minum juga merupakan hal kecil yang panitia perhatikan. ","Setiap pertemuan memiliki kesan baik, tapi yang paling berkesan menurut saya adalah ketika mengerjakan case study secara berkelompok dan mempresentasikannya langsung di hari itu juga. Seru sekali ^^","Jumlah pertemuannya ditambah, 8 pertemuan masih kurang banyak untuk materi dari perusahaan semenarik itu"
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Mengenali potensi diri, menambah koneksi, dan mengembangkan hard skill dan soft skill",Mitra,Kunjungan Industri/Lapangan,Direkomendasikan,N/A,Selama mengikuti GIKnowledge Building menjadikan momen kuliah bukan hanya belajar saja tetapi membangun koneksi dan kepercayaan dengan orang lain dan tentu saja dapat menemukan potensi diri dan terus berkembang,Panitia GIKnowledge Building sebaiknya lebih responsif
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Tidak,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Meningkatkan soft ski;;,Mitranya,hands on atau practical test,Netral,N/A,-,Semoga program bisa lebih panjang dan hands on lebih lama
Sangat puas,-,Kegiatan interaktif,Sangat puas,Sangat puas,-,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,-,Sangat puas,-,Mengerti lebih dalam tentang AI,Eventnya,-,Sangat direkomendasikan,N/A,Saya jadi mengetahui lebih dalam tentang AI,Keren sekali GIKnowledge Building saya harap kedepannya lebih baik lagi
Puas,-,Kegiatan interaktif,Puas,Puas,-,Tidak,Tidak,Ya,Berdampak,Cukup/ideal,Puas,-,Puas,-,"-Lebih percaya diri
-Lebih ekspresif",Konversi SKS dan perusahaan yang bekerja sama.,-,Direkomendasikan,Bisa konversi SKS dan menambah pengalaman maupun kenalan baru.,"Seru banget kayak balik lagi ke zaman ospek, kenalan lagi sama orang-orang, dan juga nambah pengalaman baru. Seru bangett!!","Infokan sebelum pendaftaran kegiatannya apa, sehingga orang-orang yang daftar memang orang yang tertarik bukan hanya ke perusahaannya aja."
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Saya dapat belajar mengenai ESG dan Sustainability yang mana merupakan industri yang saya ingin dalami di dunia profesional,"Kesempatan untuk mendapatkan magang, walaupun saya berharap kesempatan magang dapat diperluas supaya lebih banyak peserta yang dapat merasakan. (tidak hanya capstone terbaik)","Lebih menekankan pada materi keberlanjutan (ESG, SDG, CSR, Sustainability, dll)",Sangat direkomendasikan,N/A,Saya dapat bertemu dan berdiskusi langsung (hingga berfoto bersama) dengan praktisi level executive di perusahaan mitra,Saya berharap kesempatan magang dapat diperluas supaya lebih banyak peserta yang dapat merasakan. (tidak hanya capstone terbaik)
Netral,Pertanyaan tidak relevan,Ceramah,Sangat puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mengasah skill dan menambah sertifikasi. ,Pelayanan dari TIM GIK mengenai pelaksanaan kelas GIKnowledge Building. ,Tidak ada. ,Direkomendasikan,N/A ,"Mendapatkan feedback, doorprize, dan pengalaman langsung. ",Tolong perbanyak kelas dan perusahaan yang ikut serta memberikan pelatihan. 
Puas,Pertanyaan tidak relevan,Ceramah,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mendapatkan ilmu diluar fokus ilmu saat ini (Farmasi Ilmiah) sehingga membuka wawasan terkait dunia kerja selain di laboratorium.,Kelas oleh pemateri dari industri.,Jalur fast track atau tips trik untuk memasuki industri tersebut.,Sangat direkomendasikan,Program ini sangat direkomendasikan untuk mengenal dunia pekerjaan secara luas sehingga tidak berkutat pada ilmu yang didaptkan selama kuliah.,Mendapatkan ilmu terkait bussiness development serta keterkaitan dengan customer adalah hal yang sangat baru bagi saya dan sangat bekesan.,Perbanyak materi dan tugas individu.
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Lebih paham implementasi mata kuliah di dunia industri,Bertemu dengan speaker yang hebat,Lebih interaktif,Direkomendasikan,Karena jadi lebih tau implementasi mata kuliah di dunia industri,"Bertemu dengan high level position dari perusahaan mitra, bertemu teman teman di luar prodi, kolaborasi selama capstone project",Bisa lebih responsif lagi terkait kebutuhan peserta. karena beberapa kali pertanyaan terkait acara tidak/lama dijawab
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Saya mendapatkan pemahaman mendalam tentang budaya kerja korporat, pengambilan keputusan strategis, serta peningkatan kemampuan komunikasi dan kepemimpinan.","Pendekatan belajar yang interaktif, mentoring langsung dari profesional perusahaan mitra, dan proyek akhir yang aplikatif.",Materi tentang transformasi digital di agribisnis dan case study berbasis data lapangan.,Sangat direkomendasikan,Sangat direkomendasikan (10/10) karena program ini membangun kompetensi profesional dan kesiapan kerja di industri agribisnis.,"Pengalaman paling berkesan adalah saat bekerja dalam tim lintas latar belakang untuk menyusun proyek akhir. Dari situ saya belajar pentingnya koordinasi, komunikasi efektif, dan kepemimpinan kolaboratif dalam mencapai target bersama.",Mungkin bisa ditambahkan sesi lapangan atau simulasi proyek nyata agar peserta mendapat gambaran lebih konkret tentang implementasi konsep R&D di industri agribisnis.
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Mendapatkan pengetahuan baru, terutama perihal industri FMCG, langsung dari pakarnya yang bekerja di perusahaan mitra",Kerja sama dengan mitra-mitra besar sehingga dapat memberi exposure terhadap pesertanya,Company visit,Direkomendasikan,Program nya memiliki kegiatan yang jelas dan bermanfaat. Bisa dikonversi SKS juga jika ingin dilakukan,"Selama pelaksanaan kelas, saya berada di luar kota dan tidak bisa hadir. Namun, GIKnowledge Building memberi opsi untuk kehadiran daring yang memberi kesempatan bagi saya untuk tetap bisa mengikuti kelas. Selama kelas saya mendapat banyak ilmu baru dan reman baru dari berbagai latar belakang, tidak hanya S1 bahkan juga dari S2. Program GIKnowledge Building cukup berkesan karena tidak hanya memberikan pengetahuan secara teori tetapi juga pengalaman praktikal yang berguna untuk karir ke depannya.",Materi dan rekaman kelas bisa dibagikan di pekan yang sama ketika kelas berlangsung karena ada beberapa orang yang perlu menyimak rekaman kelas lagi untuk mengerjakan tugasnya
Sangat puas,Pertanyaan tidak relevan,"Kegiatan interaktif, diskusi studi kasus, kunjungan lapangan sebagai project kelompok",Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Merasa sesuai dengan harapan saya di awal, yaitu mengetahui bagaimana suatu bisnis berjalan, khususnya dari perusahaan besar seperti perusahaan mitra.",Kegiatan interaktif,Tertarik pada social campaign yg dipilih oleh perusahaan mitra untuk tiap2 produknya serta proses pengerjaan produk,Sangat direkomendasikan,Karena mendapatkan ilmu sesuai jurusan serta merasakan secara sekilas rasanya menjadi seorang staff di perusahaan mitra,Ketika tiap kelompok bekerja sama membangun consumer persona,"Project akhir yang pengerjaannya terlalu singkat untuk tuntutan yg besar, seperti membantu meningkatkan penghasilan UMKM. Saran lain adalah dari pihak GIK untuk memberikan notice pada UMKM terlebih dahulu sebelum menugaskan kelompok pada UMKM di Yogya. Karena, UMKM yang ditugaskan pada kelompok saya tidak mengetahui adanya tugas ini."
Sangat puas,Pertanyaan tidak relevan,Praktik dan simulasi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Pengetahuan,Narasumber,-,Sangat direkomendasikan,"Bermanfaat, informatif, tidak mengganggu jadwal",Simulasi menjadi vendor perusahaan mitra,-
Puas,;,Diskusi,Puas,Puas,;,Tidak,Tidak,Ya,Netral,Cukup/ideal,Puas,;,Netral,;,semakin percaya diri,pengajaran dengan PPT interaktif,-,Netral,;,;,;
Puas,Pertanyaan tidak relevan,Kunjungan lapangan,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mendapatkan pengalaman dan menambah ilmu yang dimiliki,Kunjungan PT,Projectannya karena menarik,Direkomendasikan,Bagus untuk menambah pengalaman,Pada saat kunjungan lapangan banyak hal baru yang dapat menambah wawasan,Lebih banyak kelasnya untuk PT. perusahaan mitra
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Tidak,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mendapatkan wawasan baru dari perusahaan mitra ,Program interview dengan perusahaan mitra ,Belum ada,Netral,N/A,Dapat kesempatan interview langsung dari perusahaan mitra ,Bekerja sama dengan lebih banyak perusahaan mitra 
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mendapatkan insight tentang perusahaan mitra,Perbanyak doorprize yang beragam ,FGD,Sangat direkomendasikan,Karena sangat bermanfaat ,Mendapatkan ilmu bermanfaat ,Perbanyak program dan perbanyak doorprize 
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Tidak puas,Tim GIK kurang responsif dan/atau informatif,Membuka pengetahuan bagaimana cara orang bekerja serta membuat strategi bisnis dan implementasinya dalam suatu perusahaan,Menjadikan perusahaan mitra sebagai mitra GIKnowledge Building,Hands on excel,Direkomendasikan,"Banyak pengetahuan baru yang saya dapat, kegiatan di kelas sangat seru, bisa berkesempatan bertemu dengan orang-orang yg keren dan memotivasi!","Mini gallery, yaitu saat masing2 kelompok menampilkan persona mereka as an art dan tiap kelompok melakukan voting untuk menentukan kelompok mana yg bisa merepresent user persona dg paling baik","- PJ kelas/mitra mohon untuk lebih fastrespon dan solutif menanggapi pertanyaan atau kendala para peserta
- Recording kelas sebaiknya dishare right after kelasnya selesai. Bukan saat sudah masanya final project"
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Mengembangkan perusahaan mitra pribadi,Dorprize ,"Harusnya jangan Live Host aja, tapi lebih luas lagi. Mungkin dalam satu hari, bisa satu topik yang berbeda",Direkomendasikan,Ini akan mengembangkan bakat orang terpendam,"Aku ngikutin GIKnowledge Building ini bareng pacarku, jadi ibaratnya ""growing"" bareng",Perbanyak dorprize
Sangat puas,Pertanyaan tidak relevan,diskusi ; kegiatan interaktif ; praktik dan simulasi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Mendapat knowledge baru terkait AI dimana ini tidak dapat saya dapatkan pada mata kuliah prodi saya, menambah relasi, serta semakin memotivasi untuk menjadi orang hebat seperti mentor-mentor GIKnowledge Building.",Lingkungan kolaboratif dan inspiratif dengan mitra industri.,"Dikarenakan topik AI yang sangat penting untuk era sekarang, sudah dibahas pada program GIKnowledge Building kemarin, maka saran topik yang ingin saya tambahkan mungkin yaitu terkait personal branding. Untuk aktivitasnya mungkin dapat ditambahkan terkait job simulation dan role playing session.",Sangat direkomendasikan,"Saya sangat merekomendasikan Program GIKnowledge Building GIK UGM karena program ini memberikan pengalaman belajar yang relevan dengan kebutuhan dunia kerja melalui kolaborasi langsung dengan berbagai mitra perusahaan. Selain itu, kegiatannya juga interaktif dan aplikatif untuk membantu mengembangkan soft skill, memperluas wawasan industri, serta membangun jejaring profesional.","Salah satu pengalaman paling berkesan selama mengikuti Program GIKnowledge Building adalah kesempatan untuk berinteraksi langsung dengan para profesional dari perusahaan besar seperti perusahaan mitra. Melalui sesi sharing dan pelatihan, saya mendapatkan banyak wawasan baru tentang dunia industri dan cara mempersiapkan diri menghadapi tantangan karier. Selain itu, suasana kegiatan yang kolaboratif membuat saya termotivasi untuk berkembang dan belajar dari teman-teman lintas jurusan. Pengalaman ini tidak hanya memperluas pengetahuan, tetapi juga menumbuhkan rasa percaya diri serta semangat untuk terus meningkatkan kemampuan diri.","Saran untuk lebih disiplin lagi dalam mengawali setiap jadwal sesi kelas, dari pengalaman sebelumnya, masih sering ngaret untuk mulainya karena menunggu teman-teman yang lain."
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mengerti hal2 yang harus dilakukan khsuusnya untuk bagian marketing,Mitra2 yang berpengalaman dan ahli,-,Direkomendasikan,"Karena ada banyak materi yang bermanfaat, serta pelaksanaan project membantu lebih mengenal kenyataan UMKM secara langsung","Teman2/relasi baru yang keren, pola pikir yang heterogen",-
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,"mendapatkan ilmu baru diluar rumpun ilmu yang biasa saya dalami, belajar membanguin teknik komunikasi dan diskusi yang efektif dengan teman-teman lain",sistem pembelajaran,-,Sangat direkomendasikan,"Program ini sangat bagus untuk menjembatani mahasiswa yang ingin tahu internal suatu industri, serta memberikan  kesempatan untuk bisa mengenal dekat industri yang dituju","We had a lot of discussions and brainstorming sessions, especially with people in my group. Luckily, we share the same vibe and ambition. We even won first place for creating a mind map persona, it means a lot to us","di awal jadwal kelasnya kurang jelas diberikan, kelas lebih baik diadakan secara offline"
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Tidak,Tidak,Ya,Berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"
percaya diri",gratis biaya sertifikasi,tidak ada,Sangat direkomendasikan,teman saya ada yang membutuhkan skill tsb,saya ada 3x sesi. 2 diantaranya online dan masuk masuk di sesi ke 3 adalah ujian,tidak ada sudah bagus
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Manfaat utama yang saya rasakan setelah mengikuti GIKnowledge Building bersama Mintra perusahaan mitra by perusahaan mitra adalah bertambahnya keterampilan praktis dalam dunia live streaming dan social commerce. Melalui sesi pelatihan dan sertifikasi untuk menjadi host live perusahaan mitra, saya belajar bagaimana membangun kepercayaan diri di depan kamera, mengelola interaksi dengan audiens secara efektif, serta mempresentasikan produk dengan menarik dan profesional. Program ini juga memberikan pemahaman mendalam tentang strategi penjualan digital, branding personal, dan teknik komunikasi persuasif yang relevan dengan kebutuhan industri kreatif saat ini. Selain itu, pengalaman belajar langsung bersama mentor dari industri membuat saya lebih siap menghadapi dunia kerja yang dinamis dan berbasis teknologi.","Hal terbaik dari Program GIKnowledge Building (GIKnowledge Building) 2025 yang sebaiknya dipertahankan adalah pendekatan pembelajarannya yang langsung terhubung dengan dunia industri melalui kolaborasi bersama mitra seperti Mintra perusahaan mitra by perusahaan mitra. Program ini berhasil menggabungkan teori akademik dengan praktik profesional secara seimbang, sehingga peserta benar-benar memahami penerapan nyata dari ilmu yang dipelajari. Selain itu, adanya pelatihan dan sertifikasi host live perusahaan mitra menjadi nilai tambah yang sangat relevan dengan kebutuhan industri digital saat ini. Pendampingan intensif dari mentor profesional, suasana belajar yang interaktif, serta kesempatan untuk membangun portofolio dan jejaring industri juga merupakan keunggulan yang patut dipertahankan di tahun-tahun berikutnya.","Pada pelaksanaan Program GIKnowledge Building (GIKnowledge Building) berikutnya, saya ingin agar kegiatan kunjungan lapangan (field visit) dan PAID Project (Project Assignment in Industry Development) dapat ditambahkan sebagai bagian dari rangkaian pembelajaran. Melalui kunjungan lapangan ke perusahaan mitra, peserta dapat melihat langsung bagaimana proses kerja profesional di industri berjalan, mulai dari perencanaan strategi, produksi konten, hingga implementasi pemasaran digital. Sementara itu, PAID Project akan memberikan kesempatan bagi mahasiswa untuk terlibat langsung dalam proyek nyata perusahaan, sehingga ilmu yang diperoleh di kelas dapat diterapkan secara kontekstual. ",Sangat direkomendasikan,"Saya sangat merekomendasikan Program GIKnowledge Building (GIKnowledge Building) kepada teman dan mahasiswa lain karena program ini memberikan pengalaman, tetapi juga praktis dan relevan dengan kebutuhan industri masa kini. Melalui kolaborasi dengan mitra seperti Mintra perusahaan mitra by perusahaan mitra, peserta mendapatkan kesempatan untuk belajar langsung dari profesional industri tentang dunia live streaming, strategi pemasaran digital, hingga sertifikasi sebagai host live perusahaan mitra. ",Pengalaman paling berkesan selama saya mengikuti Program GIKnowledge Building (GIKnowledge Building) adalah saat menjalani wawancara langsung dengan pihak perusahaan dan melakukan praktik live streaming sebagai bagian dari pelatihan sertifikasi host live perusahaan mitra. ,"Kegiatan seperti kunjungan lapangan, PAID Project, atau magang jangka pendek akan sangat membantu peserta memahami penerapan nyata dari materi yang telah dipelajari di kelas. Selain itu, akan lebih baik jika program menyediakan pendampingan lanjutan pasca pelatihan, misalnya berupa career mentoring atau networking session dengan alumni dan profesional industri. Fasilitas konsumsi yang memadai membantu menjaga semangat dan fokus peserta selama sesi berlangsung, terutama ketika kegiatan berlangsung cukup lama."
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Bimbingan langsung dari praktisi perusahaan,Kualitas program serta mitra dengan perusahaan yang diimpikan mahasiswa,belum ada,Sangat direkomendasikan,Karena mendapatkan teman lintas fakultas serta bimbingan langsung dari praktisi perusahaan ternama,Saya mendapatkan kelompok dengan mahasiswa lintas fakultas yang menyenangkan dan banyak bertemu mahasiswa luar kelompok yang proaktif. Hal ini mendorong saya untuk terus menjadi proaktif juga.,"Jadwal dapat disesuaikan dengan kegiatan perkuliahan regular mahasiswa untuk memastikan mahasiswa dapat menghadiri GIKnowledge Building, semisal di atas jam 18.00."
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Netral,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"1. Banyaknya macam macam AI yang perlu diketahui 
2. Pentingnya AI dalam lingkungan kerja 
3. Gambaran penilaian seleksi masuk kerja zaman sekarang ini",Projek kelompok,"Topik : Pendalaman materi AI Agentic
Aktivitas : Apabila disetujui, mungkin bisa kunjungan ke perusahaan untuk melihat lingkungan kerjanya ",Direkomendasikan,N/A,Berhasil aktif dikelas dan mendapatkan hadiah berupa buku serta pulpen dari Tech Connect,"Pertemuan kelasnya bisa bertambah, diskusi kelompok dan bimbingan langsung oleh pengajar, serta penugasan projek kelas "
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Relasi dan pengetahuan baru,Pembelajaran yang relevan dengan zaman sekarang,Belum ada,Direkomendasikan,Program GIKnowledge Building menambah relasi dan pengetahuan di luar dari pembelajaran kampus,"Mendapatkan teman/relasi baru dari berbagai prodi, materi pembelajaran yang up to date pada zaman sekarang",Belum ada
Netral,Pertanyaan tidak relevan,Diskusi,Netral,Tidak puas,"Materi dan/atau topik kurang relevan, Materi dan/atau topik kurang substantif, Materi dan/atau topik tidak sesuai ekspektasi",Tidak,Tidak,Tidak,Tidak berdampak,Cukup/ideal,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,-,Panitianya profesional,menambahkan materi yang relevan dengan dunia kerja,Tidak direkomendasikan,-,-,-
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Saya banyak belajar tentang cara memahami kebutuhan konsumen,Kelas interaktif dan menghadirkan perusahaan yang baik,Sebaikanya ditambahkan topik penelitian (RnD),Direkomendasikan,"Pada program ini, mahasiswa belajar mengaplikasikan apa yang telah didapatkan dalam kuliah dan mencicipi seperti apa dunia kerja yang sebenarnya",Pertemuan pertama langsung dikasih tugas dan cukup untuk memicu semangat dalam menjalani program ini,Sebaiknya jadwal kelas diberi tahu sejak awal agar kami dapat menyesuaikan jadwal tersebut atau kelas dilaksanakan pada weekend
Sangat puas,;,Diskusi,Sangat puas,Tidak puas,"Materi dan/atau topik kurang relevan, Materi dan/atau topik kurang substantif, Materi dan/atau topik tidak sesuai ekspektasi",Ya,Tidak,Ya,Berdampak,Cukup/ideal,Puas,;,Puas,;,Mendapat teman baru dan wawasan baru,jadwal kelas sore,capstonenya kurang bagus,Netral,N/A,mendapat teman baru,tidak ada
Puas,Pertanyaan tidak relevan,Ceramah,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Tidak,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Memahami dunia marketing secara langsung dari praktisi.,Berkolaborasi dengan perusahaan mitra yang notable dan mengundang narasumber yang kredibel.,-,Netral,N/A,Mengikuti kelas yang dibawakan langsung oleh para praktisi.,-
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mendapatkan materi baru dan jejaring sosial,Informatif,Interaktif,Sangat direkomendasikan,Dapat menambah wawasan terkait dunia industri,SERUUU!!!,Lebih terjadwal lagi
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Penambahan ilmu, pengalaman, serta relasi.",Keseruan kelas secara luring.,Penambahan metode yang lebih interaktif,Netral,NA,Jujur seru banget bisa kenal sana sini dan kenalan relasi dari perusahaan,Jangan daring dong please
